Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
resp_type,cr,eli,True,True,-2.365367105730631,126.0,two-sided,0.019538125143824074,0.03891071588746177,fdr_bh,1.438,-0.2926367149241564
resp_type,cr,pli,True,True,0.45965351339289195,126.0,two-sided,0.6465570552295625,0.6465570552295625,fdr_bh,0.109,0.05655759073525145
resp_type,eli,pli,True,True,2.2537407157164298,126.0,two-sided,0.025940477258307844,0.03891071588746177,fdr_bh,1.128,0.24846540357050712
