"","2.5 %","97.5 %"
"(Intercept)",7.36388392888505,7.48405785785474
"psim",-0.0514348205572417,-0.00307435842086631
"ssim",-0.14742314788861,-0.120052695019172
"abs_lag",0.052763610902141,0.0544583245266787
"outpos",0.040259557865032,0.0410593814726922
"ncr",-0.0262497821699834,-0.0251294323098827
"len_ph",0.026074956557884,0.0294220618564572
"exp_typescalp",-0.34957361855611,-0.174610652542644
"psim:ssim",-0.0738708595864787,-0.0196977543640693
"psim:abs_lag",-0.00661072157885377,-0.00458092483502351
"ssim:abs_lag",-0.0182235290311622,-0.0142866839258381
"psim:exp_typescalp",0.0105866044725168,0.0557215989439899
