"","2.5 %","97.5 %"
"(Intercept)",0.345769150285001,0.506399522030194
"pcs_J",-0.0329208362724717,0.0419294098277709
"scs",-0.015054449827983,0.0519954411938111
"tcs",0.0122414222298459,0.0699369942843488
"exp_typescalp",0.117875208009675,0.256115969838453
"l_length",-0.0168803114851584,-0.00559446466693411
"pcs_J:scs",-0.0341210089108647,0.0507774131596781
"pcs_J:tcs",-0.0542340606118716,0.0235475857621928
"scs:tcs",-0.0749219376237614,-0.00586409388530255
"pcs_J:exp_typescalp",-0.00455940809680604,0.0343658168196627
"scs:exp_typescalp",0.0302341918065189,0.0644467884073612
"tcs:exp_typescalp",0.112288982039894,0.144466216393115
