subject,exp_type,experiment,r_pcs
LTP371,scalp,ltpFR2,0.34655384817316365
LTP372,scalp,ltpFR2,0.36281381248390415
LTP373,scalp,ltpFR2,0.3415577452924106
LTP374,scalp,ltpFR2,0.42088727481295274
LTP375,scalp,ltpFR2,0.28241271030303605
LTP376,scalp,ltpFR2,0.38987088251306223
LTP377,scalp,ltpFR2,0.4800135344042751
LTP378,scalp,ltpFR2,0.4781762153341433
LTP379,scalp,ltpFR2,0.24800615865139009
LTP381,scalp,ltpFR2,0.4803687948978797
LTP382,scalp,ltpFR2,0.5227778473513469
LTP383,scalp,ltpFR2,0.3310777720531996
LTP384,scalp,ltpFR2,0.325891521155966
LTP385,scalp,ltpFR2,0.3725491238375659
LTP386,scalp,ltpFR2,0.35109501153659295
LTP387,scalp,ltpFR2,0.3663810988609202
LTP388,scalp,ltpFR2,0.4264383266267738
LTP389,scalp,ltpFR2,0.3983415032236774
LTP390,scalp,ltpFR2,0.4880649177248024
LTP391,scalp,ltpFR2,0.45786902131009805
LTP392,scalp,ltpFR2,0.347653569829457
LTP393,scalp,ltpFR2,0.3998272851831039
R1001P,intracranial,FR1,0.4031393974794636
R1002P,intracranial,FR1,0.40109792300342584
R1003P,intracranial,FR1,0.3929838440079937
R1006P,intracranial,FR1,0.5886481207876064
R1010J,intracranial,FR1,0.7285522335070445
R1018P,intracranial,FR1,0.12733396805165892
R1020J,intracranial,FR1,0.45746048692192115
R1022J,intracranial,FR1,0.7557105622077002
R1023J,intracranial,FR1,0.4325673072064884
R1026D,intracranial,FR1,0.6574428746671334
R1027J,intracranial,FR1,-0.07246055766540016
R1030J,intracranial,FR1,0.3680420797486833
R1031M,intracranial,FR1,0.5288043246188271
R1032D,intracranial,FR1,0.4383769990703735
R1033D,intracranial,FR1,0.28148212534087425
R1034D,intracranial,FR1,0.25808548584940044
R1035M,intracranial,FR1,0.10464629534013271
R1036M,intracranial,FR1,0.8545310385605682
R1042M,intracranial,FR1,0.4541019639311315
R1044J,intracranial,FR1,-0.15311693489171957
R1045E,intracranial,FR1,0.2698820292597308
R1048E,intracranial,FR1,0.6176621529494882
R1049J,intracranial,FR1,-1.0
R1050M,intracranial,FR1,0.6020798222692528
R1051J,intracranial,FR1,0.6424259715192419
R1052E,intracranial,FR1,0.7428968815196637
R1053M,intracranial,FR1,-0.28527445295493403
R1054J,intracranial,FR1,0.25215391481635074
R1056M,intracranial,FR1,0.46775337926597216
R1057E,intracranial,FR1,0.9657897069923368
R1059J,intracranial,FR1,-0.010083296675660713
R1060M,intracranial,FR1,0.5954782819230148
R1061T,intracranial,FR1,0.5663974281341584
R1062J,intracranial,FR1,0.7486327837370581
R1063C,intracranial,FR1,0.39669296001686805
R1065J,intracranial,FR1,0.5073350736352439
R1066P,intracranial,FR1,0.6745033628197846
R1067P,intracranial,FR1,0.5186732755936122
R1068J,intracranial,FR1,0.5131473370108892
R1069M,intracranial,FR1,0.6989172598705314
R1074M,intracranial,FR1,0.057807466561027726
R1075J,intracranial,FR1,0.6920920705843366
R1076D,intracranial,FR1,0.7710892728440437
R1077T,intracranial,FR1,0.6545456598616841
R1080E,intracranial,FR1,0.5174430051947327
R1081J,intracranial,FR1,0.29194223747525205
R1083J,intracranial,FR1,0.6620160721951869
R1084T,intracranial,FR1,0.7856986746202977
R1086M,intracranial,FR1,0.8027639246873899
R1089P,intracranial,FR1,0.6651046352391737
R1092J,intracranial,FR1,0.7532987553619288
R1093J,intracranial,FR1,0.6565053788247337
R1096E,intracranial,FR1,-0.2347191576141335
R1098D,intracranial,FR1,0.4784107563752363
R1100D,intracranial,FR1,1.0
R1101T,intracranial,FR1,0.5606454601781187
R1102P,intracranial,FR1,0.6465937373011449
R1104D,intracranial,FR1,0.4503675516524717
R1105E,intracranial,FR1,-0.13794900290739612
R1106M,intracranial,FR1,0.2552976333513006
R1108J,intracranial,FR1,0.6603254535148203
R1111M,intracranial,FR1,0.6127740530241639
R1112M,intracranial,FR1,0.48168471308901656
R1113T,intracranial,FR1,0.5428637460894653
R1114C,intracranial,FR1,-0.01535142582010184
R1115T,intracranial,FR1,0.7339670200924082
R1118N,intracranial,FR1,0.40059005091677335
R1120E,intracranial,FR1,0.36164145276159165
R1121M,intracranial,FR1,0.5566579178675003
R1122E,intracranial,FR1,0.4822513383451115
R1123C,intracranial,FR1,0.5089928756748555
R1124J,intracranial,FR1,0.560442627541505
R1125T,intracranial,FR1,0.7566825073170794
R1127P,intracranial,FR1,0.6587869424092654
R1128E,intracranial,FR1,0.4314343992431941
R1129D,intracranial,FR1,0.36590179069981993
R1130M,intracranial,FR1,0.6197751302637104
R1131M,intracranial,FR1,0.7646601261271668
R1135E,intracranial,FR1,0.644536961289748
R1136N,intracranial,FR1,0.44769252091162587
R1137E,intracranial,FR1,0.6738078444556984
R1138T,intracranial,FR1,0.29891038195777947
R1142N,intracranial,FR1,0.6111289805800876
R1145J,intracranial,FR1,0.4942102358601818
R1146E,intracranial,FR1,0.523674030563404
R1147P,intracranial,FR1,0.4262935003704382
R1148P,intracranial,FR1,0.2980155329144032
R1149N,intracranial,FR1,0.3787581799959347
R1150J,intracranial,FR1,0.5895519262928772
R1151E,intracranial,FR1,0.5850318620615279
R1153T,intracranial,FR1,0.5748820960424892
R1154D,intracranial,FR1,0.640550578720163
R1155D,intracranial,FR1,0.37630190314509254
R1156D,intracranial,FR1,0.6070411639285309
R1158T,intracranial,FR1,0.8446940278425252
R1159P,intracranial,FR1,0.1908891340574922
R1161E,intracranial,FR1,0.3473498940911777
R1162N,intracranial,FR1,0.35475138276358387
R1163T,intracranial,FR1,-0.2892820150169028
R1164E,intracranial,FR1,0.7462870797529182
R1166D,intracranial,FR1,0.6711306788680469
R1167M,intracranial,FR1,0.5471367064040745
R1168T,intracranial,FR1,0.44495228804327835
R1169P,intracranial,FR1,0.5406382183275187
R1170J,intracranial,FR1,0.1470308731515015
R1171M,intracranial,FR1,0.41215570504790644
R1172E,intracranial,FR1,0.6396113776677762
R1173J,intracranial,FR1,0.37256942937507576
R1174T,intracranial,FR1,0.3621323141266349
R1175N,intracranial,FR1,0.44801473541654263
R1176M,intracranial,FR1,0.3025368039893354
R1177M,intracranial,FR1,0.7619124910299946
R1178P,intracranial,FR1,0.8654963311359334
R1184M,intracranial,FR1,0.056652082943090765
R1185N,intracranial,FR1,0.3113716398357755
R1187P,intracranial,FR1,-0.13778903480168284
R1189M,intracranial,FR1,0.3162846262527289
R1191J,intracranial,FR1,0.5690212837715339
R1193T,intracranial,FR1,0.6220274910822324
R1195E,intracranial,FR1,0.675311760386777
R1196N,intracranial,FR1,0.4572703810566
R1198M,intracranial,FR1,0.8950296066013329
R1200T,intracranial,FR1,0.48766603779463114
R1201P,intracranial,FR1,0.43322663078946394
R1202M,intracranial,FR1,0.634228581070003
R1203T,intracranial,FR1,0.6579792478310649
R1204T,intracranial,FR1,0.5071596591727581
R1207J,intracranial,FR1,0.662374344191352
R1212P,intracranial,FR1,0.739574230955791
R1214M,intracranial,FR1,0.9417823983179451
R1215M,intracranial,FR1,0.6805559706379555
R1216E,intracranial,FR1,0.4438278731160221
R1217T,intracranial,FR1,0.6236084213164568
R1221P,intracranial,FR1,0.4285076917510722
R1222M,intracranial,FR1,0.5478287703168241
R1223E,intracranial,FR1,0.293307352009195
R1226D,intracranial,FR1,0.6147307967283566
R1228M,intracranial,FR1,0.5951971825252764
R1229M,intracranial,FR1,0.8192601870810781
R1230J,intracranial,FR1,0.5204141864512927
R1231M,intracranial,FR1,0.37129354444270646
R1232N,intracranial,FR1,0.5420378154381904
R1234D,intracranial,FR1,0.36008835608211287
R1236J,intracranial,FR1,0.34329411106836677
R1240T,intracranial,FR1,0.11897360230018167
R1241J,intracranial,FR1,0.7906618883144698
R1243T,intracranial,FR1,0.610209476219405
R1247P,intracranial,FR1,0.6626964685146118
R1250N,intracranial,FR1,0.5200235208201394
R1251M,intracranial,FR1,0.406402400341849
R1260D,intracranial,FR1,0.47884915922367205
R1264P,intracranial,FR1,0.6837160086619374
R1268T,intracranial,FR1,0.25035285955278824
R1274T,intracranial,FR1,0.7716392035332119
R1275D,intracranial,FR1,0.1836242037680201
R1277J,intracranial,FR1,0.19220588723198975
R1281E,intracranial,FR1,0.7056929368851884
R1283T,intracranial,FR1,0.7002165393039254
R1286J,intracranial,FR1,0.3127467341670082
R1288P,intracranial,FR1,-1.0
R1290M,intracranial,FR1,0.5618181486099817
R1291M,intracranial,FR1,0.7560065583246356
R1292E,intracranial,FR1,0.5874915016335108
R1293P,intracranial,FR1,0.5349085920158824
R1297T,intracranial,FR1,0.4125905112035698
R1298E,intracranial,FR1,0.7305615576968538
R1299T,intracranial,FR1,0.5446382998121306
R1302M,intracranial,FR1,0.5189301070728094
R1304N,intracranial,FR1,0.6194671842872724
R1306E,intracranial,FR1,0.6522094914404319
R1308T,intracranial,FR1,0.5475988860481713
R1309M,intracranial,FR1,0.4813185606817292
R1310J,intracranial,FR1,0.49030178522020507
R1311T,intracranial,FR1,0.22212085714611107
R1313J,intracranial,FR1,0.7135217432277162
R1315T,intracranial,FR1,0.46078099902092406
R1316T,intracranial,FR1,0.7705073841358768
R1317D,intracranial,FR1,0.23932305802871168
R1318N,intracranial,FR1,0.44602361171217114
R1320D,intracranial,FR1,0.9970922379517327
R1321M,intracranial,FR1,0.662670654790461
R1323T,intracranial,FR1,0.7662618849301971
R1324M,intracranial,FR1,0.02362443222452809
R1325C,intracranial,FR1,0.27380053507041613
R1328E,intracranial,FR1,0.3357166375800323
R1329T,intracranial,FR1,0.4703112880560384
R1330D,intracranial,FR1,0.4038116860539695
R1332M,intracranial,FR1,0.5882680149609181
