"","2.5 %","97.5 %"
"(Intercept)",7.1027672555252,7.20060858267963
"psim",-0.0470616869262446,0.0397029214892747
"ssim",-0.145098942004097,-0.112894357062226
"abs_lag",0.05374413454363,0.055561284497367
"outpos",0.039376099435822,0.0401761221382815
"ncr",-0.02544724105538,-0.0243316148353157
"len_ph",0.0270926362442302,0.0305086625672161
"psim:ssim",-0.206918108068507,-0.0376400771380614
"psim:abs_lag",-0.0197878247408083,-0.0133377664546273
"ssim:abs_lag",-0.0186004088957326,-0.0146541099194695
