subject,exp_type,experiment,tcs
UP041,intracranial,pyFR,0.8244547442221861
UP042,intracranial,pyFR,0.6646998834498834
UP043,intracranial,pyFR,0.7795860488029387
UP044,intracranial,pyFR,0.7854782500485625
UP045,intracranial,pyFR,0.5421119085592769
UP046,intracranial,pyFR,0.7123910040576708
R1001P,intracranial,FR1,0.6088034611992945
R1002P,intracranial,FR1,0.6266300264550264
R1003P,intracranial,FR1,0.7135880523380523
R1006P,intracranial,FR1,0.6986905706727136
R1010J,intracranial,FR1,0.6029029029029029
R1018P,intracranial,FR1,0.6667846119929454
R1020J,intracranial,FR1,0.5508291997354497
R1022J,intracranial,FR1,0.7168561507936507
R1023J,intracranial,FR1,0.757791179337232
R1026D,intracranial,FR1,0.7594990079365079
R1027J,intracranial,FR1,0.7215954184704185
R1030J,intracranial,FR1,0.6498599608925696
R1031M,intracranial,FR1,0.6343902746283698
R1032D,intracranial,FR1,0.7485558390022676
R1033D,intracranial,FR1,0.6630291005291005
R1034D,intracranial,FR1,0.7649043761022928
R1035M,intracranial,FR1,0.5916859066859067
R1036M,intracranial,FR1,0.5727402998236332
R1042M,intracranial,FR1,0.6865540490887714
R1044J,intracranial,FR1,0.9579365079365079
R1045E,intracranial,FR1,0.5295213653094087
R1048E,intracranial,FR1,0.6460680265547577
R1049J,intracranial,FR1,0.6277777777777778
R1050M,intracranial,FR1,0.5939343584656085
R1051J,intracranial,FR1,0.535853835978836
R1052E,intracranial,FR1,0.6725108551874857
R1053M,intracranial,FR1,0.5279525699168556
R1054J,intracranial,FR1,0.6399643956221944
R1056M,intracranial,FR1,0.707660052910053
R1057E,intracranial,FR1,0.6514814814814816
R1059J,intracranial,FR1,0.7657407407407407
R1060M,intracranial,FR1,0.6883827217755789
R1061T,intracranial,FR1,0.6920139103621246
R1062J,intracranial,FR1,0.6562385531135532
R1063C,intracranial,FR1,0.6385782119115452
R1065J,intracranial,FR1,0.592267519317879
R1066P,intracranial,FR1,0.7444047619047619
R1067P,intracranial,FR1,0.814339451058201
R1068J,intracranial,FR1,0.6728334992533599
R1069M,intracranial,FR1,0.6835331838049229
R1074M,intracranial,FR1,0.6058449074074074
R1075J,intracranial,FR1,0.567496693121693
R1076D,intracranial,FR1,0.6554306773879142
R1077T,intracranial,FR1,0.5891271877524956
R1080E,intracranial,FR1,0.629465801366843
R1081J,intracranial,FR1,0.5253414351851852
R1083J,intracranial,FR1,0.6254024712866175
R1084T,intracranial,FR1,0.6928042328042329
R1086M,intracranial,FR1,0.9477513227513228
R1089P,intracranial,FR1,0.7313492063492063
R1092J,intracranial,FR1,0.6015689634439635
R1093J,intracranial,FR1,0.7566665963075537
R1096E,intracranial,FR1,0.6118672839506173
R1098D,intracranial,FR1,0.7771416045374379
R1100D,intracranial,FR1,0.8611111111111112
R1101T,intracranial,FR1,0.6030110964138742
R1102P,intracranial,FR1,0.6610832637148426
R1104D,intracranial,FR1,0.6710333275822407
R1105E,intracranial,FR1,0.5876528486394558
R1106M,intracranial,FR1,0.6396389666977902
R1108J,intracranial,FR1,0.5924479573250065
R1111M,intracranial,FR1,0.7684372903675359
R1112M,intracranial,FR1,0.5106962481962483
R1113T,intracranial,FR1,0.7324368018812464
R1114C,intracranial,FR1,0.6538350062247121
R1115T,intracranial,FR1,0.8971836419753086
R1118N,intracranial,FR1,0.6512698412698412
R1120E,intracranial,FR1,0.7421801776266063
R1121M,intracranial,FR1,0.6168957860922146
R1122E,intracranial,FR1,0.6036097599135234
R1123C,intracranial,FR1,0.64664553490773
R1124J,intracranial,FR1,0.7867056602733685
R1125T,intracranial,FR1,0.4746944199490496
R1127P,intracranial,FR1,0.898172514619883
R1128E,intracranial,FR1,0.6514009259259259
R1129D,intracranial,FR1,0.4349326599326599
R1130M,intracranial,FR1,0.7309478715728716
R1131M,intracranial,FR1,0.6922800925925926
R1135E,intracranial,FR1,0.6243386243386243
R1136N,intracranial,FR1,0.7263346928277483
R1137E,intracranial,FR1,0.6247707061457062
R1138T,intracranial,FR1,0.7108713624338624
R1142N,intracranial,FR1,0.4895061728395062
R1145J,intracranial,FR1,0.6807860980469006
R1146E,intracranial,FR1,0.5441695601851851
R1147P,intracranial,FR1,0.590152497964998
R1148P,intracranial,FR1,0.6022652116402116
R1149N,intracranial,FR1,0.5640876906318083
R1150J,intracranial,FR1,0.6301138510959939
R1151E,intracranial,FR1,0.7391398055323494
R1153T,intracranial,FR1,0.5901181942310975
R1154D,intracranial,FR1,0.532059956137337
R1155D,intracranial,FR1,0.4577662037037037
R1156D,intracranial,FR1,0.6666239972691586
R1158T,intracranial,FR1,0.7409708049886622
R1159P,intracranial,FR1,0.8235416666666666
R1161E,intracranial,FR1,0.6179716563786009
R1162N,intracranial,FR1,0.542774470899471
R1163T,intracranial,FR1,0.6106209150326797
R1164E,intracranial,FR1,0.5621589781746031
R1166D,intracranial,FR1,0.642364156920078
R1167M,intracranial,FR1,0.5506272990677753
