subject,exp_type,experiment,bin,psim,irt
CH046,intracranial,pyFR,0.0,0.0,2246.714285714286
CH046,intracranial,pyFR,1.0,0.25,3245.0
CH046,intracranial,pyFR,2.0,0.2857142857142857,1209.0
CH046,intracranial,pyFR,5.0,0.5714285714285714,2823.0
CH048,intracranial,pyFR,0.0,0.0,5128.705882352941
CH048,intracranial,pyFR,1.0,0.2037037037037037,3347.6666666666665
CH048,intracranial,pyFR,2.0,0.2857142857142857,2433.0
CH048,intracranial,pyFR,3.0,0.3333333333333333,1815.0
CH048,intracranial,pyFR,4.0,0.4,1266.5
CH048,intracranial,pyFR,5.0,0.6190476190476191,4930.0
CH058,intracranial,pyFR,0.0,0.0,3409.3333333333335
CH058,intracranial,pyFR,1.0,0.25,5286.25
CH058,intracranial,pyFR,2.0,0.2857142857142857,2753.1428571428573
CH058,intracranial,pyFR,3.0,0.329004329004329,4037.5454545454545
CH058,intracranial,pyFR,4.0,0.4,3737.4
CH058,intracranial,pyFR,5.0,0.5666666666666667,1650.0
CH061,intracranial,pyFR,0.0,0.0,4452.333333333333
CH061,intracranial,pyFR,1.0,0.2222222222222222,1650.0
CH061,intracranial,pyFR,2.0,0.2857142857142857,6331.833333333333
CH061,intracranial,pyFR,3.0,0.3333333333333333,2163.375
CH061,intracranial,pyFR,4.0,0.4,4357.5
CH061,intracranial,pyFR,5.0,0.5833333333333333,1990.0
CH063,intracranial,pyFR,0.0,0.0,8704.5
CH063,intracranial,pyFR,2.0,0.2857142857142857,7700.0
CH065,intracranial,pyFR,0.0,0.0,7838.0
CH065,intracranial,pyFR,1.0,0.15476190476190477,8225.0
CH065,intracranial,pyFR,2.0,0.2857142857142857,2047.3333333333333
CH065,intracranial,pyFR,3.0,0.3333333333333333,3599.0
CH065,intracranial,pyFR,5.0,0.5833333333333334,7608.0
CH066,intracranial,pyFR,0.0,0.0,3331.366666666667
CH066,intracranial,pyFR,1.0,0.20691609977324263,2826.5714285714284
CH066,intracranial,pyFR,2.0,0.2857142857142857,1183.75
CH066,intracranial,pyFR,3.0,0.3333333333333333,2290.8333333333335
CH066,intracranial,pyFR,4.0,0.4,1897.0
CH066,intracranial,pyFR,5.0,0.5742630385487528,2438.0
CH067,intracranial,pyFR,0.0,0.0,3152.823529411765
CH067,intracranial,pyFR,1.0,0.25,2477.0
CH067,intracranial,pyFR,2.0,0.2857142857142857,2188.5
CH067,intracranial,pyFR,3.0,0.3333333333333333,2113.0
CH067,intracranial,pyFR,4.0,0.4,491.0
CH067,intracranial,pyFR,5.0,0.5291005291005291,8641.333333333334
CH068,intracranial,pyFR,0.0,0.0,3378.3956043956046
CH068,intracranial,pyFR,1.0,0.22017195767195769,6004.2
CH068,intracranial,pyFR,2.0,0.2857142857142857,7023.785714285715
CH068,intracranial,pyFR,3.0,0.33201058201058203,2643.6666666666665
CH068,intracranial,pyFR,4.0,0.4,6577.4
CH068,intracranial,pyFR,5.0,0.5652958152958153,3292.6363636363635
CP001,intracranial,pyFR,0.0,0.0,4821.217391304348
CP001,intracranial,pyFR,1.0,0.25,21726.0
CP001,intracranial,pyFR,2.0,0.2857142857142857,1482.0
CP001,intracranial,pyFR,3.0,0.3333333333333333,11946.0
CP001,intracranial,pyFR,4.0,0.4,8115.0
TJ001,intracranial,pyFR,0.0,0.0,3861.873786407767
TJ001,intracranial,pyFR,1.0,0.2361111111111111,3522.1111111111113
