subject,exp_type,experiment,session,localization,montage,tcs
LTP106,scalp,ltpFR2,17,0,0,0.7398382124233129
LTP106,scalp,ltpFR2,18,0,0,0.7666929491056779
LTP106,scalp,ltpFR2,19,0,0,0.7427164863737921
LTP106,scalp,ltpFR2,20,0,0,0.7706798767220512
LTP106,scalp,ltpFR2,21,0,0,0.7686778689422211
LTP106,scalp,ltpFR2,22,0,0,0.7633080115262216
LTP115,scalp,ltpFR2,0,0,0,0.6743054448695095
LTP115,scalp,ltpFR2,1,0,0,0.6397447030219345
LTP115,scalp,ltpFR2,2,0,0,0.604611721776941
LTP115,scalp,ltpFR2,3,0,0,0.6385827959703811
LTP115,scalp,ltpFR2,4,0,0,0.6308762430834337
LTP115,scalp,ltpFR2,5,0,0,0.6402033476189825
LTP115,scalp,ltpFR2,6,0,0,0.661331361100782
LTP115,scalp,ltpFR2,7,0,0,0.6377174965546006
LTP115,scalp,ltpFR2,8,0,0,0.6576329470836413
LTP115,scalp,ltpFR2,9,0,0,0.6481211768327935
LTP115,scalp,ltpFR2,10,0,0,0.6557897083015373
LTP115,scalp,ltpFR2,11,0,0,0.64901499426862
LTP115,scalp,ltpFR2,12,0,0,0.6050891497199112
LTP115,scalp,ltpFR2,13,0,0,0.661586036286824
LTP115,scalp,ltpFR2,14,0,0,0.6604018842573918
LTP115,scalp,ltpFR2,15,0,0,0.6891955614704935
LTP115,scalp,ltpFR2,16,0,0,0.7201887101018553
LTP115,scalp,ltpFR2,17,0,0,0.6551699613814217
LTP115,scalp,ltpFR2,18,0,0,0.6586050208429832
LTP115,scalp,ltpFR2,19,0,0,0.6652650994845519
LTP115,scalp,ltpFR2,20,0,0,0.6875620118199599
LTP115,scalp,ltpFR2,21,0,0,0.6858954367416125
LTP115,scalp,ltpFR2,22,0,0,0.6637453125686288
LTP117,scalp,ltpFR2,0,0,0,0.6477706757719066
LTP117,scalp,ltpFR2,1,0,0,0.7059064884499066
LTP117,scalp,ltpFR2,2,0,0,0.7167922147064898
LTP117,scalp,ltpFR2,3,0,0,0.7013527828528375
LTP117,scalp,ltpFR2,4,0,0,0.7232290601412167
LTP117,scalp,ltpFR2,5,0,0,0.7269590628768081
LTP117,scalp,ltpFR2,6,0,0,0.7325104006839919
LTP117,scalp,ltpFR2,7,0,0,0.7592674213299454
LTP117,scalp,ltpFR2,8,0,0,0.7079234616010938
LTP117,scalp,ltpFR2,9,0,0,0.7453100151244482
LTP117,scalp,ltpFR2,10,0,0,0.7477111934686973
