subject,exp_type,experiment,pcs
UP041,intracranial,pyFR,0.5535371153394409
UP042,intracranial,pyFR,0.3268138111888112
UP043,intracranial,pyFR,0.5245958392735737
UP044,intracranial,pyFR,0.44257919742294743
UP045,intracranial,pyFR,0.5472304011777696
UP046,intracranial,pyFR,0.38648899968344413
R1001P,intracranial,FR1,0.6179530423280423
R1002P,intracranial,FR1,0.4978762566137566
R1003P,intracranial,FR1,0.45709477334477333
R1006P,intracranial,FR1,0.4721582577475435
R1010J,intracranial,FR1,0.5369494494494494
R1018P,intracranial,FR1,0.4490454144620811
R1020J,intracranial,FR1,0.4849625220458553
R1022J,intracranial,FR1,0.5316742724867725
R1023J,intracranial,FR1,0.483296783625731
R1026D,intracranial,FR1,0.554389880952381
R1027J,intracranial,FR1,0.4972387566137566
R1030J,intracranial,FR1,0.4706947319990798
R1031M,intracranial,FR1,0.4844042894935752
R1032D,intracranial,FR1,0.49404210758377426
R1033D,intracranial,FR1,0.5002645502645503
R1034D,intracranial,FR1,0.5837604717813051
R1035M,intracranial,FR1,0.5321566859066859
R1036M,intracranial,FR1,0.45071796002351555
R1042M,intracranial,FR1,0.4950603406872008
R1044J,intracranial,FR1,0.35701388888888885
R1045E,intracranial,FR1,0.5542243213710606
R1048E,intracranial,FR1,0.4712540909496515
R1049J,intracranial,FR1,0.537962962962963
R1050M,intracranial,FR1,0.46855461860670194
R1051J,intracranial,FR1,0.4806204850988014
R1052E,intracranial,FR1,0.4828551299746952
R1053M,intracranial,FR1,0.5417753212396069
R1054J,intracranial,FR1,0.500640898082589
R1056M,intracranial,FR1,0.4697981150793651
R1057E,intracranial,FR1,0.4602777777777778
R1059J,intracranial,FR1,0.42407407407407405
R1060M,intracranial,FR1,0.4942665601594173
R1061T,intracranial,FR1,0.5115148508898509
R1062J,intracranial,FR1,0.5719856532356532
R1063C,intracranial,FR1,0.4788273300773301
R1065J,intracranial,FR1,0.49742061113014346
R1066P,intracranial,FR1,0.478157415572539
R1067P,intracranial,FR1,0.47808108052248677
R1068J,intracranial,FR1,0.4961428241124815
R1069M,intracranial,FR1,0.47018058431101906
R1074M,intracranial,FR1,0.46472904265873016
R1075J,intracranial,FR1,0.4686476812947401
R1076D,intracranial,FR1,0.51135582010582
R1077T,intracranial,FR1,0.4975236015542871
R1080E,intracranial,FR1,0.5180175264550265
R1081J,intracranial,FR1,0.5758854166666667
R1083J,intracranial,FR1,0.5017467576461478
R1084T,intracranial,FR1,0.47676587301587303
R1086M,intracranial,FR1,0.4730808295540438
R1089P,intracranial,FR1,0.49745370370370373
R1092J,intracranial,FR1,0.49847222222222226
R1093J,intracranial,FR1,0.4790045528742337
R1096E,intracranial,FR1,0.5208223104056438
R1098D,intracranial,FR1,0.5426527677569344
R1100D,intracranial,FR1,0.475
R1101T,intracranial,FR1,0.5535117210464433
R1102P,intracranial,FR1,0.5608926830966304
R1104D,intracranial,FR1,0.5118656544743502
R1105E,intracranial,FR1,0.41962162226001515
R1106M,intracranial,FR1,0.5405333800186741
R1108J,intracranial,FR1,0.4649159185532136
R1111M,intracranial,FR1,0.5032955345332577
R1112M,intracranial,FR1,0.507330747955748
R1113T,intracranial,FR1,0.47883953066823437
R1114C,intracranial,FR1,0.6164416044195457
R1115T,intracranial,FR1,0.5387885802469136
R1118N,intracranial,FR1,0.5152052808302808
R1120E,intracranial,FR1,0.49529530724819476
R1121M,intracranial,FR1,0.4714740803728899
R1122E,intracranial,FR1,0.5063623767159193
R1123C,intracranial,FR1,0.5091479545747838
R1124J,intracranial,FR1,0.5259079677395649
R1125T,intracranial,FR1,0.45781096903782087
R1127P,intracranial,FR1,0.5362573099415204
R1128E,intracranial,FR1,0.4669797619047619
R1129D,intracranial,FR1,0.582354797979798
R1130M,intracranial,FR1,0.447754329004329
R1131M,intracranial,FR1,0.5214714596155923
R1135E,intracranial,FR1,0.5237433862433862
R1136N,intracranial,FR1,0.5021811618165786
R1137E,intracranial,FR1,0.44462830687830684
R1138T,intracranial,FR1,0.5136822089947091
R1142N,intracranial,FR1,0.49374999999999997
R1145J,intracranial,FR1,0.5262052142530538
R1146E,intracranial,FR1,0.4841869212962963
R1147P,intracranial,FR1,0.4989176332926333
R1148P,intracranial,FR1,0.49328795561434446
R1149N,intracranial,FR1,0.49343448490507313
R1150J,intracranial,FR1,0.4496504157218443
R1151E,intracranial,FR1,0.466201383087348
R1153T,intracranial,FR1,0.5959099249018603
R1154D,intracranial,FR1,0.4714886893309512
R1155D,intracranial,FR1,0.4296593915343915
R1156D,intracranial,FR1,0.5148757787165045
R1158T,intracranial,FR1,0.5107175925925925
R1159P,intracranial,FR1,0.4506861772486772
R1161E,intracranial,FR1,0.532710964138742
R1162N,intracranial,FR1,0.5216860355253212
R1163T,intracranial,FR1,0.49640522875817
R1164E,intracranial,FR1,0.5846312830687831
R1166D,intracranial,FR1,0.5615771198830409
R1167M,intracranial,FR1,0.46872825333837237
R1168T,intracranial,FR1,0.48443092079286104
R1169P,intracranial,FR1,0.5180531934996221
R1170J,intracranial,FR1,0.49104845446950707
R1171M,intracranial,FR1,0.5088101751643418
R1172E,intracranial,FR1,0.4695054713804714
R1173J,intracranial,FR1,0.5241858701814059
R1174T,intracranial,FR1,0.5469494205089444
R1175N,intracranial,FR1,0.4563109161793372
R1176M,intracranial,FR1,0.5215342537477954
R1177M,intracranial,FR1,0.44235826035395
R1178P,intracranial,FR1,0.38585586144179895
R1184M,intracranial,FR1,0.4677278990299824
R1185N,intracranial,FR1,0.40247594997595004
R1186P,intracranial,FR1,0.5
R1187P,intracranial,FR1,0.40416666666666673
R1189M,intracranial,FR1,0.51143146494709
R1191J,intracranial,FR1,0.5383326247165533
R1193T,intracranial,FR1,0.566072373393802
R1195E,intracranial,FR1,0.48905009920634923
R1196N,intracranial,FR1,0.49333665631656703
R1198M,intracranial,FR1,0.46501736111111114
R1200T,intracranial,FR1,0.46478558537350906
R1201P,intracranial,FR1,0.533932772057772
R1202M,intracranial,FR1,0.48059781011169894
R1203T,intracranial,FR1,0.4247955747955748
R1204T,intracranial,FR1,0.5059605088474136
R1207J,intracranial,FR1,0.46091450216450214
R1212P,intracranial,FR1,0.512300336050336
R1214M,intracranial,FR1,0.5254629629629629
R1215M,intracranial,FR1,0.47787711380848635
R1216E,intracranial,FR1,0.49467787114845935
R1217T,intracranial,FR1,0.5159884982638889
R1221P,intracranial,FR1,0.43016994478951
R1222M,intracranial,FR1,0.48698385141093475
R1223E,intracranial,FR1,0.4825069895382395
R1226D,intracranial,FR1,0.5061742618194232
R1228M,intracranial,FR1,0.527014776100142
R1229M,intracranial,FR1,0.3680302676626206
R1230J,intracranial,FR1,0.49912690347141564
R1231M,intracranial,FR1,0.5374434754521964
R1232N,intracranial,FR1,0.5304163832199547
R1234D,intracranial,FR1,0.42482860691702157
R1236J,intracranial,FR1,0.5228458510775583
R1240T,intracranial,FR1,0.4593041383219955
R1241J,intracranial,FR1,0.45555555555555555
R1243T,intracranial,FR1,0.5229230599647267
R1247P,intracranial,FR1,0.5292141654641654
R1250N,intracranial,FR1,0.4979143990929705
R1251M,intracranial,FR1,0.599042328042328
R1260D,intracranial,FR1,0.46171704793028323
R1264P,intracranial,FR1,0.4910048185941043
R1268T,intracranial,FR1,0.48949586458515026
R1274T,intracranial,FR1,0.46576967592592594
R1275D,intracranial,FR1,0.5227707749766574
R1277J,intracranial,FR1,0.5152050264550264
R1281E,intracranial,FR1,0.49400455272548294
R1283T,intracranial,FR1,0.49768230046155576
R1286J,intracranial,FR1,0.5012165831244778
R1288P,intracranial,FR1,0.3525462962962963
R1290M,intracranial,FR1,0.49915904060036714
R1291M,intracranial,FR1,0.49932784103979755
R1292E,intracranial,FR1,0.4816876344554916
R1293P,intracranial,FR1,0.4377080352643703
R1297T,intracranial,FR1,0.5298262051734274
R1298E,intracranial,FR1,0.4632706766917294
R1299T,intracranial,FR1,0.43899848828420257
R1302M,intracranial,FR1,0.5754889455782314
R1304N,intracranial,FR1,0.4642857142857143
R1306E,intracranial,FR1,0.5097222222222222
R1308T,intracranial,FR1,0.49392870640319625
R1309M,intracranial,FR1,0.5179350907029479
R1310J,intracranial,FR1,0.5281688850308642
R1311T,intracranial,FR1,0.5278602493185827
R1313J,intracranial,FR1,0.583276768309663
R1315T,intracranial,FR1,0.5489257114257114
R1316T,intracranial,FR1,0.4898843925034401
R1317D,intracranial,FR1,0.5011135912698412
R1318N,intracranial,FR1,0.5176753401360544
R1320D,intracranial,FR1,0.4856481481481481
R1321M,intracranial,FR1,0.4597249922696351
R1323T,intracranial,FR1,0.4491421816953732
R1324M,intracranial,FR1,0.4483410493827161
R1325C,intracranial,FR1,0.3744949494949495
R1328E,intracranial,FR1,0.4715473079475692
R1329T,intracranial,FR1,0.430740675625544
R1330D,intracranial,FR1,0.5280872071050642
R1332M,intracranial,FR1,0.4821275375229457
R1334T,intracranial,FR1,0.4715721026658527
