label,exp_type,t_stat,p_val,dof,p_val_fdr
pcs_v1,intracranial,3.2744737824748573,0.001147996820334178,412,0.003061324854224475
pcs_v2,intracranial,2.24335013816742,0.02540493860453309,412,0.03387325147271078
tcs,intracranial,-0.5107880793222009,0.6097730383049429,412,0.6097730383049429
scs,intracranial,-1.6486779478769658,0.09997590513722965,412,0.11425817729969102
pcs_v1,scalp,2.4590676327414402,0.015286963693656057,126,0.024459141909849692
pcs_v2,scalp,3.1522942729938475,0.002024777327067179,126,0.004049554654134358
tcs,scalp,5.44845968392399,2.5646872723086244e-07,126,2.0517498178468995e-06
scs,scalp,3.9058627823532857,0.00015225714373044434,126,0.0006090285749217774
